ID,Title,Automation Status,Created By,Created On,Expected Result,Forecast,Goals,Mission,PreConditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Expected Result),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On
C394338,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing ePrint job with duplex scenario with ePrint Mobile Driver.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using ePrint Mobile Driver[Win or MAC].
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using ePrint Mobile Driver[Win or MAC].
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:38
C394339,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing ePrint job with duplex scenario with Mobile apps.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using mobile apps.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using mobile apps.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:39
C394340,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing ePrint job with multiple attachments.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send an ePrint job with multiple supported files.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP count and record your results.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send an ePrint job with multiple supported files.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP count and record your results.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:39
C394341,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing ePrint job with Out of Paper scenario.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page job to printer by ePrint.
3. Place only 2 or 1 page of papers on paper source.
4. Make sure the ""out of paper"" message pops out.
5. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
6. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page job to printer by ePrint.
3. Place only 2 or 1 page of papers on paper source.
4. Make sure the ""out of paper"" message pops out.
5. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
6. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:39
C394342,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing ePrint job with Power cycle scenario.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2.Send a 3 page job to printer by ePrint.
3.Power cycle the printer by press the power button once the print job has been started.
4. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2.Send a 3 page job to printer by ePrint.
3.Power cycle the printer by press the power button once the print job has been started.
4. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:39
C394343,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing ePrint job with supported and unsupported documents.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send ePrint job with one supported and unsupported files.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send ePrint job with one supported and unsupported files.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:40
C394344,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing non-rover sips.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print multiple page content of any non - rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print multiple page content of any non - rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:40
C394346,Instant Ink: Verify Page Count for enrolled printers with Kenso cartridges when printer is Copying.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Copy> no. of pages =2>[Either Black or color]
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
4. Refresh the page meter on 
ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Copy> no. of pages =2>[Either Black or color]
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
4. Refresh the page meter on 
ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:40
C394347,Instant Ink: Verify Page Count for enrolled printers with trade cartridges when printer is Copying.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
2. 1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Copy > no. of pages =2
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
4. Refresh the page meter on 
ISEP page.
Expected Result:
Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. 
2. Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
2. 1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Copy > no. of pages =2
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
4. Refresh the page meter on 
ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:40
C394348,Instant Ink: Verify Page Count for enrolled printers with Trade cartridges when printer is printing ePrint job with duplex scenario with ePrint Mobile Driver.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using ePrint Mobile Driver[Win or MAC].
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using ePrint Mobile Driver[Win or MAC].
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:41
C394349,Instant Ink: Verify Page Count for enrolled printers with Trade cartridges when printer is printing ePrint job with duplex scenario with Mobile apps.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using mobile apps.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page duplex color 
print using mobile apps.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:41
C394350,Instant Ink: Verify Page Count for enrolled printers with Trade cartridges when printer is printing ePrint job with multiple attachments.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send an ePrint job with multiple supported files.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP count and record your results.
Expected Result:
Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send an ePrint job with multiple supported files.
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP count and record your results.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:41
C394351,Instant Ink: Verify Page Count for enrolled printers with Trade cartridges when printer is printing non-rover sips.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print multiple page content of any non - rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print multiple page content of any non - rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:42
C394352,Instant Ink: Verify Page Count for enrolled printers with Trade cartridges when printer is printing rover sips.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,High,,Priority 2,1,High priority test cases.,Instant Ink > Priority 2,,"1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print current content of any rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Verify the Subscription PPP Count on page meter/printer does not increase, and the Total Engine Page Count on printer increased correctly.","1. Cartridges Used: Trade Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print current content of any rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:42
C394334,Instant Ink: Generate a billing for the 2.99 plan with 50 pages.,No,Tathagata Neogy,3/31/2018 6:07,,,,,,Medium,,Priority 3,1,Medium priority test cases.,Instant Ink > Priority 3,,"1. Generate a billing for the 2.99 plan with 50 pages printed for the month. Shipping address is Vancouver WA 98683.
Expected Result:
Invoice is generated and no overages are included in the bill.",1. Invoice is generated and no overages are included in the bill.,1. Generate a billing for the 2.99 plan with 50 pages printed for the month. Shipping address is Vancouver WA 98683.,WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:42
C394335,Instant Ink: Generate a billing for the 2.99 plan with 65 pages.,No,Tathagata Neogy,3/31/2018 6:07,,,,,,Medium,,Priority 3,1,Medium priority test cases.,Instant Ink > Priority 3,,"1. Generate a billing for the 2.99 plan with 65 pages printed for the month. Shipping address is Vancouver WA 98683.
Expected Result:
Invoice is generated and 1 overages are included in the bill
Note: we will modify this scenario to verify boundary values.","1. Invoice is generated and 1 overages are included in the bill
Note: we will modify this scenario to verify boundary values.",1. Generate a billing for the 2.99 plan with 65 pages printed for the month. Shipping address is Vancouver WA 98683.,WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:42
C394336,Instant Ink: Trigger NewCredUrgent.,No,Tathagata Neogy,3/31/2018 6:07,,,,,,Medium,,Priority 3,1,Medium priority test cases.,Instant Ink > Priority 3,,"1. Trigger NewCredUrgent: user should be able to print past OOP without any disruptions.

Expected Result:
User should be able to print without any interuptions",1. User should be able to print without any interuptions,1. Trigger NewCredUrgent: user should be able to print past OOP without any disruptions.,WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:43
C394337,Instant Ink: Verify Page Count for enrolled printers with Kensho catridges when printer is printing ePrint job with Cancel scenario.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,Medium,,Priority 3,1,Medium priority test cases.,Instant Ink > Priority 3,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page job to printer by ePrint.
3. Let 2 page get printed and then cancel before the 3rd page starts printing.
4. Ensure that the 3rd page does not get printed.
5. Refresh the Dashboard and check the increments on page meter.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Send a 3 page job to printer by ePrint.
3. Let 2 page get printed and then cancel before the 3rd page starts printing.
4. Ensure that the 3rd page does not get printed.
5. Refresh the Dashboard and check the increments on page meter.",WPP RelQA Test Cases,S1082,Test Case (Steps),Regression,Vignesh Kumaresan,1/28/2019 12:43
C394345,Instant Ink: Verify Page Count for enrolled printers with Kensho cartridges when printer is printing rover sips.,No,Tathagata Neogy,3/31/2018 6:13,,,,,,Low,,Priority 3,1,Medium priority test cases.,Instant Ink > Priority 3,,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print current content of any rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.
Expected Result:
Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.",1. Verify the Total Engine Page Count and the Subscription PPP Count on page meter/printer increased correctly.,"1. Cartridges Used: Kensho Pens [Printer Subscribed to II 2.0]
1. Check Original Total Engine Page Count/Original Subscription PPP Count and record your results.
2. Print current content of any rover app
3. After the printout printed successfully, then check current Total Engine Page Count/current Subscription PPP Count and record your results.
5. Refresh the page meter on ISEP page.",WPP RelQA Test Cases,S1082,Test Case (Steps),Solutions,Vignesh Kumaresan,1/28/2019 12:43
C564441,Verify binding QQ printer to QQ App,No,Sravani Mollaka,4/25/2018 5:55,,,,,"1. Latest version of QQ mobile app should be installed 
2. QQ supported model printer should be in CHINA  region",Critical,,QQ Mobile App-Production,0,,QQ Mobile App-Production,,"1. QQ supported model printer should be connected to a network and has a IP address
2. TPS or ICS : Give the printer ip address in the browser 
IBS : Click on web services button
Expected Result:
TPS or ICS : Web Services page should be displayed (OR ) If printer is already registered click on print info and check for QQ welcome page 

IBS : Web services summary page should displayed if printer is already registered (or )
web services setup page should displayed (if printer is not registered)

3. TPS or ICS : click on set up 
IBS : Click on enable web services 
Expected Result:
TPS or ICS : enable or next button should displayed
IBS : OK button should displayed or Follow the UI for next steps


4. TPS or ICS : Click on Enable or Next button for enabling webservices
IBS : Click on OK button
Expected Result:
TPS or ICS : Web Services Enabled message should displayed on EWS page 
IBS : Set Up successful message should be displayed on front panel

After successful registration info sheet with QR Code and Email address should get printed 
5. Using QQ mobile app  

Click on QQ app 

Note : Since QQ App is in Chinese please use translator for understanding the steps
Expected Result:
Message tab with multiple users or buddies list should be displayed
6. Click on Menu icon for scan option
Expected Result:
Scan option should displayed 

7. Click on scan option and scan the QR Code using info sheet
Expected Result:
Scanning should be done and Binding Confirmation page should be displayed 
8. Click on Agree and Binding option 
Expected Result:
Printer should get bound with the QQ mobile app 

For confirmation go to Message tab and check for the printer details.","1. 
2. TPS or ICS : Web Services page should be displayed (OR ) If printer is already registered click on print info and check for QQ welcome page 

IBS : Web services summary page should displayed if printer is already registered (or )
web services setup page should displayed (if printer is not registered)

3. TPS or ICS : enable or next button should displayed
IBS : OK button should displayed or Follow the UI for next steps


4. TPS or ICS : Web Services Enabled message should displayed on EWS page 
IBS : Set Up successful message should be displayed on front panel

After successful registration info sheet with QR Code and Email address should get printed 
5. Message tab with multiple users or buddies list should be displayed
6. Scan option should displayed 

7. Scanning should be done and Binding Confirmation page should be displayed 
8. Printer should get bound with the QQ mobile app 

For confirmation go to Message tab and check for the printer details.","1. QQ supported model printer should be connected to a network and has a IP address
2. TPS or ICS : Give the printer ip address in the browser 
IBS : Click on web services button
3. TPS or ICS : click on set up 
IBS : Click on enable web services 
4. TPS or ICS : Click on Enable or Next button for enabling webservices
IBS : Click on OK button
5. Using QQ mobile app  

Click on QQ app 

Note : Since QQ App is in Chinese please use translator for understanding the steps
6. Click on Menu icon for scan option
7. Click on scan option and scan the QR Code using info sheet
8. Click on Agree and Binding option",WPP RelQA Test Cases,S1082,Test Case (Steps),Functional,Sravani Mollaka,2/21/2019 9:20
C569330,QQ : Verify printing txt files,No,Sravani Mollaka,4/26/2018 9:23,,,,,"1. Latest QQ mobile App should be installed 
2. QQ model supported printer should be connected to a network and has a valid IP address
3. Printer should registered in CHINA region and info sheet has been printed with QR code
4. Scan the QR code & Bind printer as a buddy to QQ account. ",Medium,,QQ Mobile App_Printing Windows Files,1,Submitting jobs using QQ mobile App.,QQ Mobile App-Production > QQ Mobile App_Printing Windows Files,,"1. Click on QQ mobile App
Expected Result:
Message screen with multiple options (like printers ,buddies and menu options) should open
2. Click on printer 
Expected Result:
Printer page (chat window) should display
3. Click on file icon to select test file 


Expected Result:
All folders should display 


4. Select or click on .txt test file from the folder for printing

Note : Multiple files could not be selected at once
Expected Result:
After clicking/selecting a .txt test file ,print setup interface screen should display with following options

Onesided or Twosided
No of Copies
Print Paper
etc

5. Select options for the print and click on print option 
Expected Result:
File should be uploaded .
After successful upload .txt file should print and verify print output.","1. Message screen with multiple options (like printers ,buddies and menu options) should open
2. Printer page (chat window) should display
3. All folders should display 


4. After clicking/selecting a .txt test file ,print setup interface screen should display with following options

Onesided or Twosided
No of Copies
Print Paper
etc

5. File should be uploaded .
After successful upload .txt file should print and verify print output.","1. Click on QQ mobile App
2. Click on printer 
3. Click on file icon to select test file 


4. Select or click on .txt test file from the folder for printing

Note : Multiple files could not be selected at once
5. Select options for the print and click on print option",WPP RelQA Test Cases,S1082,Test Case (Steps),Functional,Vignesh Kumaresan,1/28/2019 12:50
C569334,QQ: Verify printing doc files,No,Sravani Mollaka,4/26/2018 9:30,,,,,"1. Latest QQ mobile App should be installed
2. QQ model supported printer should be connected to a network and has a valid IP address
3. Printer should registered in CHINA region and info sheet has been printed with QR code
4. Scan the QR code & Bind printer as a buddy to QQ account.",Medium,,QQ Mobile App_Printing Windows Files,1,Submitting jobs using QQ mobile App.,QQ Mobile App-Production > QQ Mobile App_Printing Windows Files,,"1. Click on QQ mobile App
Expected Result:
Message screen with multiple options (like printers ,buddies and menu options) should open
2. Click on printer
Expected Result:
Printer page (chat window) should display
3. Click on file icon to select test file

Expected Result:
All folders should display

4. Select or click on .doc test file from the folder for printing

Note : Multiple files could not be selected at once
Expected Result:
After clicking/selecting a .doc test file ,print setup interface screen should display with following options

Onesided or Twosided
No of Copies
Print Paper
etc
5. Select options for the print and click on print option
Expected Result:
File should be uploaded .
After successful upload .doc file should print and verify the print output","1. Message screen with multiple options (like printers ,buddies and menu options) should open
2. Printer page (chat window) should display
3. All folders should display

4. After clicking/selecting a .doc test file ,print setup interface screen should display with following options

Onesided or Twosided
No of Copies
Print Paper
etc
5. File should be uploaded .
After successful upload .doc file should print and verify the print output","1. Click on QQ mobile App
2. Click on printer
3. Click on file icon to select test file

4. Select or click on .doc test file from the folder for printing

Note : Multiple files could not be selected at once
5. Select options for the print and click on print option",WPP RelQA Test Cases,S1082,Test Case (Steps),Functional,Vignesh Kumaresan,1/28/2019 12:51
C569335,QQ: Verify printing docx file,No,Sravani Mollaka,4/26/2018 9:37,,,,,"1. Latest QQ mobile App should be installed
2. QQ model supported printer should be connected to a network and has a valid IP address
3. Printer should registered in CHINA region and info sheet has been printed with QR code
4. Scan the QR code & Bind printer as a buddy to QQ account.",Medium,,QQ Mobile App_Printing Windows Files,1,Submitting jobs using QQ mobile App.,QQ Mobile App-Production > QQ Mobile App_Printing Windows Files,,"1. Click on QQ mobile App
Expected Result:
Message window with multiple options (like printers ,buddies and menu options) should open
2. Select printer from the list
Expected Result:
Printer page (chat window) should display
3. Click on file icon to select test file

Expected Result:
All folders should display

4. Select or click on .docx test file from the folder for printing

Note : Multiple files could not be selected at once

Expected Result:
After clicking/selecting a .docx test file ,print setup interface screen should display with following options

Onesided or Twosided
No of Copies
Print Paper
etc

5. Select options for the print and click on print option

Expected Result:
File should be uploaded .
After successful upload .docx file should print and verify the print output","1. Message window with multiple options (like printers ,buddies and menu options) should open
2. Printer page (chat window) should display
3. All folders should display

4. After clicking/selecting a .docx test file ,print setup interface screen should display with following options

Onesided or Twosided
No of Copies
Print Paper
etc

5. File should be uploaded .
After successful upload .docx file should print and verify the print output","1. Click on QQ mobile App
2. Select printer from the list
3. Click on file icon to select test file

4. Select or click on .docx test file from the folder for printing

Note : Multiple files could not be selected at once

5. Select options for the print and click on print option",WPP RelQA Test Cases,S1082,Test Case (Steps),Functional,Vignesh Kumaresan,1/28/2019 12:51
